bioguide_id,Name,first_name,middle_name,last_name,nickname,Chamber,State,District,Party,start_year,end_year,update_date,image_url
E000299,Veronica Escobar,Veronica,,Escobar,,House,Texas,16,Democratic,2019,,2025-04-28T13:04:26Z,https://www.congress.gov/img/member/e000299_200.jpg
F000468,Lizzie Fletcher,Lizzie,,Fletcher,,House,Texas,7,Democratic,2019,,2025-04-28T13:04:26Z,https://www.congress.gov/img/member/67813f931f9ad6ea6fb1eb6f_200.jpg
G000589,Lance Gooden,Lance,,Gooden,,House,Texas,5,Republican,2019,,2025-04-28T13:04:26Z,https://www.congress.gov/img/member/g000589_200.jpg
C001120,Dan Crenshaw,Dan,,Crenshaw,,House,Texas,2,Republican,2019,,2025-04-28T13:04:26Z,https://www.congress.gov/img/member/c001120_200.jpg
R000612,John W. Rose,John,W.,Rose,,House,Tennessee,6,Republican,2019,,2025-04-28T13:04:26Z,https://www.congress.gov/img/member/r000612_200.jpg
B001309,Tim Burchett,Tim,,Burchett,,House,Tennessee,2,Republican,2019,,2025-04-28T13:04:26Z,https://www.congress.gov/img/member/b001309_200.jpg
J000301,Dusty Johnson,Dusty,,Johnson,,House,South Dakota,0,Republican,2019,,2025-04-28T13:04:26Z,https://www.congress.gov/img/member/j000301_200.jpg
T000480,William R. Timmons,William,R.,Timmons,,House,South Carolina,4,Republican,2019,,2025-04-28T13:04:26Z,https://www.congress.gov/img/member/t000480_200.jpg
N000190,Ralph Norman,Ralph,,Norman,,House,South Carolina,5,Republican,2017,,2025-04-28T13:04:26Z,https://www.congress.gov/img/member/n000190_200.jpg
A000375,Jodey C. Arrington,Jodey,C.,Arrington,,House,Texas,19,Republican,2017,,2025-04-28T13:04:26Z,https://www.congress.gov/img/member/115_rp_tx_19_arrington_jodey_200.jpg
K000392,David Kustoff,David,,Kustoff,,House,Tennessee,8,Republican,2017,,2025-04-28T13:04:26Z,https://www.congress.gov/img/member/116_rp_tn_8_kustoff_david_200.jpg
C001091,Joaquin Castro,Joaquin,,Castro,,House,Texas,20,Democratic,2013,,2025-04-28T13:04:26Z,https://www.congress.gov/img/member/c001091_200.jpg
W000814,Randy K. Sr. Weber,Randy,K.,Weber,,House,Texas,14,Republican,2013,,2025-04-28T13:04:26Z,https://www.congress.gov/img/member/w000814_200.jpg
D000616,Scott DesJarlais,Scott,,DesJarlais,,House,Tennessee,4,Republican,2011,,2025-04-28T13:04:26Z,https://www.congress.gov/img/member/d000616_200.jpg
F000459,"Charles J. ""Chuck"" Fleischmann",Charles,J.,Fleischmann,Chuck,House,Tennessee,3,Republican,2011,,2025-04-28T13:04:26Z,https://www.congress.gov/img/member/f000459_200.jpg
C001068,Steve Cohen,Steve,,Cohen,,House,Tennessee,9,Democratic,2007,,2025-04-28T13:04:26Z,https://www.congress.gov/img/member/c001068_200.jpg
S000250,Pete Sessions,Pete,,Sessions,,House,Texas,17,Republican,2021,,2025-04-28T13:04:26Z,https://www.congress.gov/img/member/115_rp_tx_32_sessions_pete_200.jpg
M001157,Michael T. McCaul,Michael,T.,McCaul,,House,Texas,10,Republican,2005,,2025-04-28T13:04:26Z,https://www.congress.gov/img/member/116_rp_tx_10_mccaul_michael_200.jpg
G000553,Al Green,Al,,Green,,House,Texas,9,Democratic,2005,,2025-04-28T13:04:26Z,https://www.congress.gov/img/member/116_rp_tx_9_green_al_200.jpg
C000537,James E. Clyburn,James,E.,Clyburn,,House,South Carolina,6,Democratic,1993,,2025-04-28T13:04:26Z,https://www.congress.gov/img/member/c000537_200.jpg
M001230,Ryan Mackenzie,Ryan,,Mackenzie,,House,Pennsylvania,7,Republican,2025,,2025-04-28T13:04:25Z,https://www.congress.gov/img/member/677430a40b34857ecc909113_200.jpg
D000635,Maxine Dexter,Maxine,,Dexter,,House,Oregon,3,Democratic,2025,,2025-04-28T13:04:25Z,https://www.congress.gov/img/member/677425260b34857ecc90907d_200.jpg
B001327,Robert P. Bresnahan,Robert,P.,Bresnahan,,House,Pennsylvania,8,Republican,2025,,2025-04-28T13:04:25Z,https://www.congress.gov/img/member/6774236f0b34857ecc90905f_200.jpg
B001326,Janelle S. Bynum,Janelle,S.,Bynum,,House,Oregon,5,Democratic,2025,,2025-04-28T13:04:25Z,https://www.congress.gov/img/member/677423150b34857ecc909059_200.jpg
A000380,Gabe Amo,Gabe,,Amo,,House,Rhode Island,1,Democratic,2023,,2025-04-28T13:04:25Z,https://www.congress.gov/img/member/669ace45fa2fb0d731226768_200.jpg
S001226,Andrea Salinas,Andrea,,Salinas,,House,Oregon,6,Democratic,2023,,2025-04-28T13:04:25Z,https://www.congress.gov/img/member/s001226_200.jpg
M001223,Seth Magaziner,Seth,,Magaziner,,House,Rhode Island,2,Democratic,2023,,2025-04-28T13:04:25Z,https://www.congress.gov/img/member/m001223_200.jpg
L000602,Summer L. Lee,Summer,L.,Lee,,House,Pennsylvania,12,Democratic,2023,,2025-04-28T13:04:25Z,https://www.congress.gov/img/member/l000602_200.jpg
H001094,Val T. Hoyle,Val,T.,Hoyle,,House,Oregon,4,Democratic,2023,,2025-04-28T13:04:25Z,https://www.congress.gov/img/member/h001094_200.jpg
D000530,Christopher R. Deluzio,Christopher,R.,Deluzio,,House,Pennsylvania,17,Democratic,2023,,2025-04-28T13:04:25Z,https://www.congress.gov/img/member/d000530_200.jpg
B001317,Josh Brecheen,Josh,,Brecheen,,House,Oklahoma,2,Republican,2023,,2025-04-28T13:04:25Z,https://www.congress.gov/img/member/b001317_200.jpg
M000194,Nancy Mace,Nancy,,Mace,,House,South Carolina,1,Republican,2021,,2025-04-28T13:04:25Z,https://www.congress.gov/img/member/m000194_200.jpg
B000740,Stephanie I. Bice,Stephanie,I.,Bice,,House,Oklahoma,5,Republican,2021,,2025-04-28T13:04:25Z,https://www.congress.gov/img/member/b000740_200.jpg
B000668,Cliff Bentz,Cliff,,Bentz,,House,Oregon,2,Republican,2021,,2025-04-28T13:04:25Z,https://www.congress.gov/img/member/b000668_200.jpg
R000610,Guy Reschenthaler,Guy,,Reschenthaler,,House,Pennsylvania,14,Republican,2019,,2025-04-28T13:04:25Z,https://www.congress.gov/img/member/r000610_200.jpg
J000302,John Joyce,John,,Joyce,,House,Pennsylvania,13,Republican,2019,,2025-04-28T13:04:25Z,https://www.congress.gov/img/member/j000302_200.jpg
M001204,Daniel Meuser,Daniel,,Meuser,,House,Pennsylvania,9,Republican,2019,,2025-04-28T13:04:25Z,https://www.congress.gov/img/member/6776ebbf4f8a93753830ca7d_200.jpg
D000631,Madeleine Dean,Madeleine,,Dean,,House,Pennsylvania,4,Democratic,2019,,2025-04-28T13:04:25Z,https://www.congress.gov/img/member/d000631_200.jpg
H001082,Kevin Hern,Kevin,,Hern,,House,Oklahoma,1,Republican,2018,,2025-04-28T13:04:25Z,https://www.congress.gov/img/member/h001082_200.jpg
S001205,Mary Gay Scanlon,Mary,Gay,Scanlon,,House,Pennsylvania,5,Democratic,2018,,2025-04-28T13:04:25Z,https://www.congress.gov/img/member/116_rp_pa_5_scanlon_mary_200.jpg
S001199,Lloyd Smucker,Lloyd,,Smucker,,House,Pennsylvania,11,Republican,2017,,2025-04-28T13:04:25Z,https://www.congress.gov/img/member/s001199_200.jpg
F000466,Brian K. Fitzpatrick,Brian,K.,Fitzpatrick,,House,Pennsylvania,1,Republican,2017,,2025-04-28T13:04:25Z,https://www.congress.gov/img/member/116_rp_pa_1_fitzpatrick_brian_200.jpg
E000296,Dwight Evans,Dwight,,Evans,,House,Pennsylvania,3,Democratic,2016,,2025-04-28T13:04:25Z,https://www.congress.gov/img/member/115_rp_pa_2_evans_dwight_200.jpg
B001296,Brendan F. Boyle,Brendan,F.,Boyle,,House,Pennsylvania,2,Democratic,2015,,2025-04-28T13:04:25Z,https://www.congress.gov/img/member/115_rp_pa_13_boyle_brendan_200.jpg
P000605,Scott Perry,Scott,,Perry,,House,Pennsylvania,10,Republican,2013,,2025-04-28T13:04:25Z,https://www.congress.gov/img/member/677ec7d3514c773869b6b915_200.jpg
B001278,Suzanne Bonamici,Suzanne,,Bonamici,,House,Oregon,1,Democratic,2012,,2025-04-28T13:04:25Z,https://www.congress.gov/img/member/b001278_200.jpg
K000376,Mike Kelly,Mike,,Kelly,,House,Pennsylvania,16,Republican,2011,,2025-04-28T13:04:25Z,https://www.congress.gov/img/member/k000376_200.jpg
T000467,Glenn Thompson,Glenn,,Thompson,,House,Pennsylvania,15,Republican,2009,,2025-04-28T13:04:25Z,https://www.congress.gov/img/member/115_rp_pa_5_thompson_glenn_200.jpg
L000491,Frank D. Lucas,Frank,D.,Lucas,,House,Oklahoma,3,Republican,1993,,2025-04-28T13:04:25Z,https://www.congress.gov/img/member/116_rp_ok_3_lucas_frank_200.jpg
C001053,Tom Cole,Tom,,Cole,,House,Oklahoma,4,Republican,2003,,2025-04-28T13:04:25Z,https://www.congress.gov/img/member/c001053_200.jpg
W000795,Joe Wilson,Joe,,Wilson,,House,South Carolina,2,Republican,2001,,2025-04-28T13:04:25Z,https://www.congress.gov/img/member/116_rp_sc_2_wilson_joe_200.jpg
T000490,David J. Taylor,David,J.,Taylor,,House,Ohio,2,Republican,2025,,2025-04-28T13:04:24Z,https://www.congress.gov/img/member/677460190b34857ecc9091a3_200.jpg
R000622,Josh Riley,Josh,,Riley,,House,New York,19,Democratic,2025,,2025-04-28T13:04:24Z,https://www.congress.gov/img/member/67745e360b34857ecc909179_200.jpg
M001231,John W. Mannion,John,W.,Mannion,,House,New York,22,Democratic,2025,,2025-04-28T13:04:24Z,https://www.congress.gov/img/member/677446860b34857ecc909119_200.jpg
L000606,George Latimer,George,,Latimer,,House,New York,16,Democratic,2025,,2025-04-28T13:04:24Z,https://www.congress.gov/img/member/6774301b0b34857ecc909107_200.jpg
R000619,Michael A. Rulli,Michael,A.,Rulli,,House,Ohio,6,Republican,2024,,2025-04-28T13:04:24Z,https://www.congress.gov/img/member/668e9425658443009a697c95_200.jpg
K000402,Timothy M. Kennedy,Timothy,M.,Kennedy,,House,New York,26,Democratic,2024,,2025-04-28T13:04:24Z,https://www.congress.gov/img/member/668e9306658443009a697c8c_200.jpg
S001223,Emilia Strong Sykes,Emilia,Strong,Sykes,,House,Ohio,13,Democratic,2023,,2025-04-28T13:04:24Z,https://www.congress.gov/img/member/s001223_200.jpg
M001222,Max L. Miller,Max,L.,Miller,,House,Ohio,7,Republican,2023,,2025-04-28T13:04:24Z,https://www.congress.gov/img/member/680908fb6c2e6631263de71f_200.jpg
L000599,Michael Lawler,Michael,,Lawler,,House,New York,17,Republican,2023,,2025-04-28T13:04:24Z,https://www.congress.gov/img/member/l000599_200.jpg
L000600,Nicholas A. Langworthy,Nicholas,A.,Langworthy,,House,New York,23,Republican,2023,,2025-04-28T13:04:24Z,https://www.congress.gov/img/member/680901e76c2e6631263de716_200.jpg
